Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
ADAGIO THERAPEUTICS INC,ADGI,Sell,Filled,68,68,@8.90,8.90,DAY,12/23/2021 09:53:38 EST,12/23/2021 09:57:05 EST
ADAGIO THERAPEUTICS INC,ADGI,Buy,Filled,68,68,@9.40,9.40,DAY,12/22/2021 08:28:53 EST,12/22/2021 08:45:52 EST
Advanced Human Imaging Ltd,AHI,Sell,Filled,95,95,@5.01,5.01,DAY,12/13/2021 10:02:30 EST,12/13/2021 10:09:57 EST
Advanced Human Imaging Ltd,AHI,Buy,Filled,95,95,@5.80,5.80,DAY,12/07/2021 11:47:38 EST,12/07/2021 12:24:44 EST
Shiba Inu,SHIBUSD,Buy,Cancelled,0,16173837.20930232,@0.000,,DAY,12/06/2021 13:20:58 EST,
Shiba Inu,SHIBUSD,Buy,Cancelled,0,16558928.57142857,@0.000,,DAY,12/06/2021 10:00:20 EST,
PetVivo Holdings,PETV,Sell,Filled,167,167,@3.32,3.32,DAY,12/02/2021 09:44:51 EST,12/02/2021 17:37:44 EST
PetVivo Holdings,PETV,Sell,Cancelled,0,167,@2.94,,DAY,11/24/2021 11:59:18 EST,
PetVivo Holdings,PETV,Buy,Filled,167,167,@3.02,3.02,DAY,11/19/2021 09:45:48 EST,11/19/2021 09:52:56 EST
Camber Energy,CEI,Buy,Cancelled,0,898,@1.75,,DAY,10/20/2021 10:39:03 EDT,
Camber Energy,CEI,Sell,Filled,1000,1000,1.35,1.35,DAY,10/15/2021 15:32:39 EDT,10/15/2021 15:32:39 EDT
Camber Energy,CEI,Sell,Cancelled,0,1000,@1.45,,DAY,10/15/2021 12:51:28 EDT,
Shiba Inu,SHIBUSD,Buy,Filled,721864.95176848,721864.95176848,@0.000,0.000,DAY,10/06/2021 21:06:34 EDT,10/06/2021 21:28:05 EDT
Camber Energy,CEI,Sell,Filled,369,369,@2.16,2.16,DAY,09/24/2021 11:09:15 EDT,09/24/2021 11:15:56 EDT
Clovis Oncology,CLVS,Sell,Filled,230,230,4.35,4.35,DAY,09/15/2021 12:26:07 EDT,09/15/2021 12:26:08 EDT
Clovis Oncology,CLVS,Buy,Filled,230,230,@4.35,4.35,DAY,09/15/2021 09:49:19 EDT,09/15/2021 09:49:20 EDT
SUNDIAL GROWERS INC.,SNDL,Sell,Filled,1378,1378,0.713,0.713,DAY,09/14/2021 14:51:54 EDT,09/14/2021 14:51:55 EDT
SUNDIAL GROWERS INC.,SNDL,Buy,Filled,1378,1378,0.7232,0.7232,DAY,09/14/2021 13:49:27 EDT,09/14/2021 13:49:27 EDT
CASI Pharms,CASI,Sell,Filled,726,726,1.40,1.40,DAY,09/14/2021 13:47:00 EDT,09/14/2021 13:47:53 EDT
CASI Pharms,CASI,Sell,Cancelled,0,726,1.20,,GTC,09/13/2021 17:44:19 EDT,
CASI Pharms,CASI,Sell,Cancelled,0,726,@2.07,,GTC,09/13/2021 17:44:19 EDT,
CASI Pharms,CASI,Buy,Filled,726,726,@1.38,1.38,DAY,09/13/2021 15:33:09 EDT,09/13/2021 15:33:09 EDT
Camber Energy,CEI,Buy,Filled,51,51,@1.30,1.30,DAY,09/13/2021 10:22:42 EDT,09/13/2021 10:24:10 EDT
Genworth Fincl,GNW,Sell,Filled,2,2,3.47,3.47,DAY,09/13/2021 10:13:18 EDT,09/13/2021 10:13:18 EDT
Genworth Fincl,GNW,Sell,Cancelled,0,2,@3.63,,GTC,09/13/2021 09:49:44 EDT,
OPKO Health,OPK,Sell,Filled,1,1,@3.56,3.56,DAY,09/13/2021 09:49:12 EDT,09/13/2021 09:50:32 EDT
Antelope Enterprise Holdings Ltd,AEHL,Buy,Cancelled,0,104,@3.10,,DAY,09/10/2021 14:18:08 EDT,
ContextLogic Inc.,WISH,Sell,Filled,35,35,6.96,6.96,DAY,09/08/2021 12:31:33 EDT,09/08/2021 12:31:33 EDT
Camber Energy,CEI,Buy,Filled,317,317,@0.945,0.945,DAY,09/07/2021 09:58:48 EDT,09/07/2021 09:59:22 EDT
CASI Pharms,CASI,Buy,Cancelled,0,196,@1.53,,DAY,09/03/2021 18:15:49 EDT,
Camber Energy,CEI,Buy,Filled,1001,1001,@0.700,0.700,DAY,09/02/2021 10:58:26 EDT,09/02/2021 12:24:16 EDT
Camber Energy,CEI,Buy,Cancelled,0,1030,@0.680,,DAY,09/02/2021 10:56:47 EDT,
ContextLogic Inc.,WISH,Buy,Filled,35,35,@7.25,7.25,DAY,08/30/2021 12:29:43 EDT,08/30/2021 13:07:11 EDT
Clover Health Investments Corp,CLOV,Buy,Cancelled,0,30,@8.40,,DAY,08/30/2021 10:41:49 EDT,
Bsquare,BSQR,Buy,Cancelled,0,90,@2.80,,DAY,08/30/2021 10:27:40 EDT,
Vinco Ventures Inc,BBIG,Sell,Filled,37,37,6.85,6.85,DAY,08/30/2021 10:19:18 EDT,08/30/2021 10:19:19 EDT
Vinco Ventures Inc,BBIG,Buy,Filled,37,37,@8.20,8.20,DAY,08/30/2021 10:14:44 EDT,08/30/2021 10:14:50 EDT
Arcadia,RKDA,Buy,Cancelled,0,129,@2.35,,DAY,08/30/2021 09:46:39 EDT,
CLENE,CLNN,Sell,Filled,4,4,@8.77,8.77,DAY,07/16/2021 14:30:18 EDT,07/16/2021 14:30:36 EDT
CLENE,CLNN,Buy,Filled,4,4,@13.70,13.70,DAY,07/13/2021 15:23:16 EDT,07/13/2021 15:42:27 EDT
Antero Midstream Corp,AM,Sell,Filled,1,1,@10.44,10.44,DAY,07/09/2021 11:04:16 EDT,07/09/2021 11:05:08 EDT
Cemex,CX,Sell,Filled,2,2,@8.33,8.33,DAY,07/09/2021 11:03:18 EDT,07/09/2021 11:05:03 EDT
Antero Resources,AR,Sell,Filled,1,1,@14.74,14.74,DAY,07/09/2021 11:02:49 EDT,07/09/2021 11:02:50 EDT
Genworth Fincl,GNW,Sell,Filled,1,1,@3.77,3.77,DAY,07/07/2021 09:44:34 EDT,07/07/2021 09:46:10 EDT
GE,GE,Sell,Filled,1,1,@13.42,13.42,DAY,06/15/2021 09:41:44 EDT,06/15/2021 09:41:45 EDT
Swestn Energy,SWN,Sell,Filled,1,1,@5.48,5.48,DAY,06/15/2021 09:41:22 EDT,06/15/2021 09:41:24 EDT
Zynga,ZNGA,Sell,Filled,1,1,@10.65,10.65,DAY,06/14/2021 15:55:47 EDT,06/14/2021 15:59:52 EDT
ADT,ADT,Sell,Filled,7,7,@11.61,11.61,DAY,06/14/2021 15:55:16 EDT,06/14/2021 15:56:10 EDT
bluebird bio,BLUE,Buy,Cancelled,0,5,@34.60,,DAY,06/14/2021 10:03:45 EDT,
Trxade Health Inc,MEDS,Sell,Filled,75,75,@5.49,5.49,DAY,06/11/2021 10:24:09 EDT,06/11/2021 10:24:09 EDT
Trxade Health Inc,MEDS,Sell,Cancelled,0,75,@5.60,,DAY,06/11/2021 10:22:21 EDT,
Trxade Health Inc,MEDS,Sell,Cancelled,0,75,@7.93,,DAY,06/10/2021 15:33:17 EDT,
Trxade Health Inc,MEDS,Buy,Filled,75,75,@6.88,6.88,DAY,06/10/2021 15:25:14 EDT,06/10/2021 15:26:24 EDT
Vinco Ventures Inc,BBIG,Buy,Cancelled,0,114,@4.55,,DAY,06/10/2021 15:11:52 EDT,
Vinco Ventures Inc,BBIG,Buy,Cancelled,0,117,@4.42,,DAY,06/10/2021 14:37:59 EDT,
DogeCoin,DOGEUSD,Buy,Cancelled,0,1624,@0.320,,DAY,06/10/2021 11:45:44 EDT,
Snap,SNAP,Sell,Filled,1,1,@17.58,17.58,DAY,04/30/2020 08:57:33 EDT,04/30/2020 09:30:01 EDT
Banco Santander,SAN,Sell,Filled,1,1,@2.15,2.15,DAY,04/23/2020 10:40:56 EDT,04/23/2020 10:46:08 EDT
Matador Resource,MTDR,Buy,Cancelled,0,120,@2.50,,DAY,04/20/2020 09:36:55 EDT,
OASIS PETROLEUM,OAS,Buy,Cancelled,0,1000,@0.200,,DAY,04/20/2020 09:35:47 EDT,
Matador Resource,MTDR,Buy,Cancelled,0,158,@3.15,,DAY,04/13/2020 09:31:06 EDT,
