Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
LCID 01/14/2022 00:00:00 EST Call $49.00,LCID220114C00049000,Sell,Filled,12,12,@0.580,0.580,DAY,01/11/2022 11:13:31 EST,01/11/2022 12:53:48 EST
LCID 01/14/2022 00:00:00 EST Call $49.00,LCID220114C00049000,Buy,Filled,12,12,@0.520,0.520,DAY,01/11/2022 11:03:17 EST,01/11/2022 11:05:03 EST
SPY 01/12/2022 00:00:00 EST Call $465.00,SPY220112C00465000,Sell,Filled,7,7,@0.900,0.900,DAY,01/10/2022 13:08:43 EST,01/10/2022 13:08:45 EST
SPY 01/12/2022 00:00:00 EST Call $465.00,SPY220112C00465000,Sell,Cancelled,0,7,@0.950,,DAY,01/10/2022 12:30:12 EST,
SPY 01/12/2022 00:00:00 EST Call $465.00,SPY220112C00465000,Buy,Filled,7,7,@0.750,0.750,DAY,01/10/2022 11:50:58 EST,01/10/2022 11:51:17 EST
HOOD 01/14/2022 00:00:00 EST Put $14.00,HOOD220114P00014000,Buy,Cancelled,0,15,@0.350,,DAY,01/10/2022 10:36:11 EST,
AMC 01/07/2022 00:00:00 EST Put $23.00,AMC220107P00023000,Sell,Filled,9,9,@0.550,0.550,DAY,01/07/2022 10:16:00 EST,01/07/2022 10:21:48 EST
AMC 01/07/2022 00:00:00 EST Put $23.00,AMC220107P00023000,Sell,Cancelled,0,9,@0.550,,DAY,01/07/2022 10:13:24 EST,
AMC 01/07/2022 00:00:00 EST Put $23.00,AMC220107P00023000,Sell,Cancelled,0,9,@0.570,,DAY,01/07/2022 10:08:58 EST,
AMC 01/07/2022 00:00:00 EST Put $23.00,AMC220107P00023000,Buy,Filled,9,9,@0.500,0.500,DAY,01/07/2022 10:06:24 EST,01/07/2022 10:06:25 EST
WFC 01/07/2022 00:00:00 EST Call $54.00,WFC220107C00054000,Sell,Filled,24,24,@0.200,0.200,DAY,01/06/2022 11:44:08 EST,01/06/2022 12:44:32 EST
WFC 01/07/2022 00:00:00 EST Call $54.00,WFC220107C00054000,Sell,Cancelled,0,24,@0.120,,DAY,01/06/2022 10:14:04 EST,
WFC 01/07/2022 00:00:00 EST Call $54.00,WFC220107C00054000,Sell,Cancelled,0,24,@0.150,,DAY,01/06/2022 09:58:01 EST,
WFC 01/07/2022 00:00:00 EST Call $54.00,WFC220107C00054000,Sell,Cancelled,0,24,@0.280,,DAY,01/06/2022 09:46:11 EST,
WFC 01/07/2022 00:00:00 EST Call $54.00,WFC220107C00054000,Buy,Filled,24,24,@0.240,0.240,DAY,01/06/2022 09:44:34 EST,01/06/2022 09:44:35 EST
WFC 01/07/2022 00:00:00 EST Call $54.00,WFC220107C00054000,Buy,Cancelled,0,24,@0.240,,DAY,01/06/2022 09:43:26 EST,
LCID 01/07/2022 00:00:00 EST Put $35.00,LCID220107P00035000,Sell,Filled,15,15,@0.370,0.370,DAY,01/05/2022 09:56:56 EST,01/05/2022 10:07:01 EST
LCID 01/07/2022 00:00:00 EST Put $35.00,LCID220107P00035000,Buy,Filled,15,15,@0.300,0.300,DAY,01/05/2022 09:52:34 EST,01/05/2022 09:52:35 EST
LCID 01/07/2022 00:00:00 EST Put $36.00,LCID220107P00036000,Buy,Cancelled,0,11,@0.420,,DAY,01/05/2022 09:48:02 EST,
SPY 01/05/2022 00:00:00 EST Put $475.00,SPY220105P00475000,Sell,Filled,8,8,@0.560,0.560,DAY,01/04/2022 10:48:14 EST,01/04/2022 10:53:52 EST
SPY 01/05/2022 00:00:00 EST Put $475.00,SPY220105P00475000,Buy,Filled,8,8,@0.480,0.480,DAY,01/04/2022 10:42:17 EST,01/04/2022 10:43:43 EST
MSFT 01/07/2022 00:00:00 EST Put $325.00,MSFT220107P00325000,Sell,Filled,3,3,@1.08,1.08,DAY,01/03/2022 11:00:07 EST,01/03/2022 11:00:09 EST
MSFT 01/07/2022 00:00:00 EST Put $325.00,MSFT220107P00325000,Buy,Filled,3,3,@1.12,1.12,DAY,01/03/2022 10:45:08 EST,01/03/2022 10:45:39 EST
SPY 12/31/2021 00:00:00 EST Put $475.00,SPY 12/31/2021 00:00:00 EST Put $475.00,Sell,Filled,9,9,@0.450,0.450,DAY,12/31/2021 12:40:19 EST,12/31/2021 12:40:20 EST
SPY 12/31/2021 00:00:00 EST Put $475.00,SPY 12/31/2021 00:00:00 EST Put $475.00,Sell,Cancelled,0,9,@0.500,,DAY,12/31/2021 12:37:09 EST,
SPY 12/31/2021 00:00:00 EST Put $475.00,SPY 12/31/2021 00:00:00 EST Put $475.00,Buy,Filled,5,5,@0.660,0.660,DAY,12/31/2021 12:25:21 EST,12/31/2021 12:25:23 EST
SPY 12/31/2021 00:00:00 EST Put $475.00,SPY 12/31/2021 00:00:00 EST Put $475.00,Buy,Filled,4,4,@0.760,0.760,DAY,12/31/2021 12:21:45 EST,12/31/2021 12:22:53 EST
AMD 12/31/2021 00:00:00 EST Call $150.00,AMD 12/31/2021 00:00:00 EST Call $150.00,Sell,Filled,5,5,@1.24,1.24,DAY,12/30/2021 10:47:35 EST,12/30/2021 10:50:20 EST
AMD 12/31/2021 00:00:00 EST Call $150.00,AMD 12/31/2021 00:00:00 EST Call $150.00,Sell,Cancelled,0,5,@1.50,,DAY,12/30/2021 10:34:02 EST,
AMD 12/31/2021 00:00:00 EST Call $150.00,AMD 12/31/2021 00:00:00 EST Call $150.00,Buy,Filled,5,5,@1.25,1.25,DAY,12/30/2021 10:31:15 EST,12/30/2021 10:31:20 EST
AMD 12/31/2021 00:00:00 EST Put $145.00,AMD 12/31/2021 00:00:00 EST Put $145.00,Sell,Filled,5,5,@1.11,1.11,DAY,12/29/2021 12:10:47 EST,12/29/2021 12:15:53 EST
AMD 12/31/2021 00:00:00 EST Put $145.00,AMD 12/31/2021 00:00:00 EST Put $145.00,Buy,Filled,5,5,@1.08,1.08,DAY,12/29/2021 12:04:56 EST,12/29/2021 12:05:04 EST
NVDA 12/31/2021 00:00:00 EST Put $290.00,NVDA 12/31/2021 00:00:00 EST Put $290.00,Sell,Filled,4,4,@1.58,1.58,DAY,12/28/2021 12:30:02 EST,12/28/2021 12:31:22 EST
NVDA 12/31/2021 00:00:00 EST Put $290.00,NVDA 12/31/2021 00:00:00 EST Put $290.00,Sell,Cancelled,0,4,@1.40,,DAY,12/28/2021 12:28:07 EST,
NVDA 12/31/2021 00:00:00 EST Put $290.00,NVDA 12/31/2021 00:00:00 EST Put $290.00,Buy,Filled,4,4,@1.49,1.49,DAY,12/28/2021 12:23:31 EST,12/28/2021 12:23:35 EST
AMD 12/23/2021 00:00:00 EST Put $134.00,AMD 12/23/2021 00:00:00 EST Put $134.00,Sell,Filled,4,4,@1.40,1.40,DAY,12/21/2021 09:53:41 EST,12/21/2021 09:57:04 EST
AMD 12/23/2021 00:00:00 EST Put $134.00,AMD 12/23/2021 00:00:00 EST Put $134.00,Buy,Filled,4,4,@1.10,1.10,DAY,12/21/2021 09:51:52 EST,12/21/2021 09:51:54 EST
AMD 12/23/2021 00:00:00 EST Put $134.00,AMD 12/23/2021 00:00:00 EST Put $134.00,Buy,Cancelled,0,4,@1.10,,DAY,12/21/2021 09:45:51 EST,
BLNK 01/28/2022 00:00:00 EST Call $32.00,BLNK220128C00032000,Buy,Cancelled,0,5,@0.950,,DAY,12/21/2021 09:36:30 EST,
BLNK 01/28/2022 00:00:00 EST Call $32.00,BLNK220128C00032000,Buy,Cancelled,0,5,@0.950,,DAY,12/21/2021 09:32:52 EST,
BLNK 01/28/2022 00:00:00 EST Call $35.00,BLNK220128C00035000,Sell,Filled,4,4,@1.20,1.20,DAY,12/17/2021 09:57:39 EST,12/17/2021 10:56:02 EST
BLNK 01/28/2022 00:00:00 EST Call $35.00,BLNK220128C00035000,Buy,Filled,4,4,@1.09,1.09,DAY,12/16/2021 10:25:24 EST,12/16/2021 14:11:12 EST
MCD 11/26/2021 00:00:00 EST Call $265.00,MCD 11/26/2021 00:00:00 EST Call $265.00,Sell,Filled,21,21,@0.220,0.220,DAY,11/17/2021 10:56:57 EST,11/17/2021 15:00:44 EST
MCD 11/26/2021 00:00:00 EST Call $265.00,MCD 11/26/2021 00:00:00 EST Call $265.00,Sell,Cancelled,0,21,@0.270,,DAY,11/15/2021 09:34:28 EST,
